org_login,repo_name
baidurom,baidurom/devices-base_cm
baidurom,baidurom/devices-base_mt6592
baidurom,baidurom/devices-Coolpad8720L
baidurom,baidurom/devices-lt26i
baidurom,baidurom/devices-onex
baidurom,baidurom/dingdong-recovery
BCEBIGDATA,BCEBIGDATA/bmr-sample-hbase
BCEBIGDATA,BCEBIGDATA/bmr-spark-samples-scala
BCEBIGDATA,BCEBIGDATA/kafka-sample-php
be-fe,be-fe/babel
be-fe,be-fe/befe-video-sharing-server
be-fe,be-fe/demo-player
be-fe,be-fe/Issue
Clouda-team,Clouda-team/rapid-access
Clouda-team,Clouda-team/rapid-bcs
Clouda-team,Clouda-team/rapid-memcache
ecomfe,ecomfe/babel-plugin-transform-for-of-array
ecomfe,ecomfe/babel-plugin-transform-modules-amd
ecomfe,ecomfe/babel-preset-browser
ecomfe,ecomfe/babel-preset-mobile
exp-team,exp-team/effectiveJsRules
exp-team,exp-team/eventEmitter
exp-team,exp-team/exp-team.github.io
fex-team,fex-team/extract-psd-text
fex-team,fex-team/fio
swan-team,swan-team/awesome-swan
swan-team,swan-team/swan-js-api
swan-team,swan-team/swan-js-host-app
swan-team,swan-team/swan-templates
Bandwidth,Bandwidth/gitbook-plugin-custom-favicon
Bandwidth,Bandwidth/gitbook-plugin-custom-footer
barracudanetworks,barracudanetworks/ngf-welcome-pages
barracudanetworks,barracudanetworks/otphp
bazaarvoice,bazaarvoice/bosun-cost
bazaarvoice,bazaarvoice/bv-ios-sdk-conversations-example
bazaarvoice,bazaarvoice/bv-ios-swift-sdk
beeva,beeva/TEC_LAB-interpretext
bilibili,bilibili/bbip
bilibili,bilibili/flvbind
bilibili,bilibili/lua-resty-mysql
blackbaud,blackbaud/jenkins-pipelines
blackberry,blackberry/BB-BigData-Common-Utils
alphashack,alphashack/mysql-session-store
boozallen,boozallen/attune
boozallen,boozallen/devsecops-example-helloworld
boozallen,boozallen/Public-License
boozallen,boozallen/raptor
booz-allen-hamilton,booz-allen-hamilton/Agile-In-Government-Viewpoint
booz-allen-hamilton,booz-allen-hamilton/ansible-role-kafka-standalone
booz-allen-hamilton,booz-allen-hamilton/express-hello
box-samples,box-samples/box-apex-sdk
box-samples,box-samples/box-platform-app-user-example-dotnet
box-samples,box-samples/box-platform-app-user-example-java
box-samples,box-samples/box-platform-app-user-example-rails
bp,bp/qa-tech-test
CelebrosLtd,CelebrosLtd/BI
CelebrosLtd,CelebrosLtd/M2_Celebros_SearchApi
CelebrosLtd,CelebrosLtd/M2_Embedded
seevolution,seevolution/zepto
brightcove,brightcove/bc-ssdlc
brightcove,brightcove/brightcove-player-sdk-ios-pulse
BrightcovePS,BrightcovePS/att-root-CustomFieldsMigration
BrightcovePS,BrightcovePS/Pelmorex-AndroidTV
BrightcovePS,BrightcovePS/URLSigningEndpointExample
Broadcom,Broadcom/action-pack-archetype
Broadcom,Broadcom/action-pack-sdk
Broadcom,Broadcom/arm64-linux
Broadcom,Broadcom/bdc-walkthrough
Broadcom,Broadcom/brcm80211
Broadcom,Broadcom/Broadcom-Compute-Connectivity-Software-robo2-rsdk
Broadcom,Broadcom/Broadcom-Compute-Connectivity-Software-robo2-xsdk
Broadcom,Broadcom/cygnus-linux
Broadcom,Broadcom/linux-rdma-nxt
Broadcom,Broadcom/stbgcc-4.5
Broadcom,Broadcom/stblinux
Broadcom,Broadcom/stblinux-2.6.18
Broadcom,Broadcom/stblinux-2.6.31
Broadcom,Broadcom/stblinux-2.6.37
CA-APM,CA-APM/-new-repository-request
CA-APM,CA-APM/ca-apm-automation
CA-APM,CA-APM/ca-apm-build-and-release-calculator
CA-APM,CA-APM/ca-apm-example-docker-node
CA-APM,CA-APM/ca-apm-example-webservice
CA-APM,CA-APM/ca-apm-extension-jaxrs
CA-DevTest,CA-DevTest/ant-tasks
RallyCommunity,RallyCommunity/active-defects-chart
RallyCommunity,RallyCommunity/appsdk2-enhanced-velocity-chart
RallyCommunity,RallyCommunity/artifact-store-example
RallyCommunity,RallyCommunity/artifacts-by-last-update-date
RallyCommunity,RallyCommunity/authors-of-stories
RallyCommunity,RallyCommunity/bulk-copy-stories-between-iterations
RallyCommunity,RallyCommunity/bulk-create-stories-set-release
RallyCommunity,RallyCommunity/bulk-delete-description
RallyCommunity,RallyCommunity/CapabilityGroupManager
RallyCommunity,RallyCommunity/child-stories-by-release-grouped-by-parent
RallyCommunity,RallyCommunity/children-of-epics-promises-example-rc3
RallyCommunity,RallyCommunity/completed-stories-without-changeset
RallyCommunity,RallyCommunity/container-example
RallyCommunity,RallyCommunity/convert-defect-to-story
RallyCommunity,RallyCommunity/create-feature-set-parent
RallyCommunity,RallyCommunity/create-rally-data-with-node
Broadridge,Broadridge/dkr-aws-sam
Broadridge,Broadridge/dkr-chef-workstation
Broadsoft,Broadsoft/log4cxx
bsquare-emea,bsquare-emea/modbus-sphere-library
buckle,buckle/puppet-pulp
buckle,buckle/signalsciences-cookbook
CATechnologies,CATechnologies/activesupport-i18n-patch
CATechnologies,CATechnologies/backbone.memoized_sync
CATechnologies,CATechnologies/chrome-gh2rb
CATechnologies,CATechnologies/diffcorn
RallySoftware,RallySoftware/async-intro
RallySoftware,RallySoftware/aurelia-hack
RallySoftware,RallySoftware/bower-rui-styles
RallyTechServices,RallyTechServices/ClothRed
RallyTools,RallyTools/Rally-Export-Attachments
RallyTools,RallyTools/Rally-Recycle-Bin-Utilities
calix-sw,calix-sw/FA-Use-client
calix-sw,calix-sw/labs
carbonblack,carbonblack/cb-phantom-playbooks
carbonblack,carbonblack/cb-wildfire-connector
caredotcom,caredotcom/grails-cache-redis
caredotcom,caredotcom/hello
cargurus,cargurus/cookbook-rundeck
carsdotcom,carsdotcom/docker-secrets-java
carsdotcom,carsdotcom/elixir_agent
carsdotcom,carsdotcom/kube-ssm-agent
carsdotcom,carsdotcom/spandex
carsdotcom,carsdotcom/spandex_datadog
cavium,cavium/thunderx-linux
CDKGlobal,CDKGlobal/DeviceDetection
CDKGlobal,CDKGlobal/liquibase-snowflake
cengage,cengage/cf-app-info
cengage,cengage/Quality-Assessor-Spike
cengage,cengage/sapience
CheckPointSoftwareTechnologies,CheckPointSoftwareTechnologies/CPMobileSDK-iOS
CheckPointSW,CheckPointSW/android_appfuzz
cmux,cmux/cmux-tencent-koa-creator
cmux,cmux/cmux-tencent-scf-creator
cmux,cmux/koot-serverless
cmux,cmux/scaffold-server
CheggEng,CheggEng/apperror
CheggEng,CheggEng/ecs_event_fetcher
easybib,easybib/google-spreadsheet
easybiblabs,easybiblabs/avahi-alias
easybiblabs,easybiblabs/chrome-opsworks-json-extension
easybiblabs,easybiblabs/cookbook-appdynamics
starsapp,starsapp/starsapp
51talk-design,51talk-design/freedom-template-tsExpress
ciena,ciena/bbsim-sadis-server
ciena,ciena/cord-xos-configuration
ciena,ciena/heroic-python
CirrusLogic,CirrusLogic/linux-drivers
CiscoDevNet,CiscoDevNet/ansible-aci
CiscoDevNet,CiscoDevNet/ansible-aireos
CiscoDevNet,CiscoDevNet/ansible-asa
CiscoDevNet,CiscoDevNet/ansible-dcnm
CiscoDevNet,CiscoDevNet/ansible-ftd
CiscoDevNet,CiscoDevNet/ansible-ios
CiscoDevNet,CiscoDevNet/ansible-iosxr
CiscoDevNet,CiscoDevNet/ansible-mso
CiscoDevNet,CiscoDevNet/ansible-nae
CiscoDevNet,CiscoDevNet/ansible-nso
CiscoDevNet,CiscoDevNet/ansible-nxos
cisco-ie,cisco-ie/netgonf
cisco-nam,cisco-nam/rest-api-guide
cisco-open-source,cisco-open-source/ethtool
cisco-open-source,cisco-open-source/libmicrohttpd
cisco-open-source,cisco-open-source/oic
ciscops,ciscops/cidr
ciscops,ciscops/CISCO-Federal
ciscops,ciscops/colabot-alert
CiscoSE,CiscoSE/ACI-BulkCreateVLANS
CiscoSE,CiscoSE/aci-neighbors
CiscoSE,CiscoSE/aci-setup
CiscoSE,CiscoSE/aci_available_ports
CiscoSE,CiscoSE/aci_if_desc
CiscoSE,CiscoSE/avalenciavidi
CiscoSystems,CiscoSystems/ansible-devstack-on-openstack
CiscoSystems,CiscoSystems/buildpackages
CiscoSystems,CiscoSystems/ciscosystems.github.io
CiscoSystems,CiscoSystems/coi-docs
CiscoSystems,CiscoSystems/coi-sample-configs
CiscoSystems,CiscoSystems/devstack-environment
CiscoUKIDCDev,CiscoUKIDCDev/LAB_LinuxWebServerDev
datacenter,datacenter/ansible-playbooks
datacenter,datacenter/appcenter-training
datacenter,datacenter/autotestbed
gve-sw,gve-sw/aci-compare
gve-sw,gve-sw/aci-conf-converter
gve-sw,gve-sw/Ansible_NSO-ESC-VNFs
gve-sw,gve-sw/cisco_cucm_AXL_phone_inventory_flask_sample
gve-sw,gve-sw/CLUS18-DEVNET-2897-COMPLETED
gve-sw,gve-sw/cmx
gve-sw,gve-sw/CMX_MVSENSE_CORRELATION_APPLICATION
gve-sw,gve-sw/DataPlaneUtilizationCapturingTool
opendns,opendns/basic-auth-service
opendns,opendns/doh-client
opendns,opendns/investigate-chrome-plugin
opendns,opendns/nginx-auth-proxy
portcullislabs,portcullislabs/bsql-hacker
portcullislabs,portcullislabs/CVE-2015-5119_walkthrough
portcullislabs,portcullislabs/linikatz
portcullislabs,portcullislabs/portcullis.github.io
portcullislabs,portcullislabs/portcullislabs.github.io
cision,cision/websolutions
citrix-openstack,citrix-openstack/geppetto
citrix-openstack,citrix-openstack/glance-build
citrix-openstack,citrix-openstack/infrastructure
citrix-openstack,citrix-openstack/keystone-build
cloudera,cloudera/cml-training
clouderasecurity,clouderasecurity/ansible
clouderasecurity,clouderasecurity/hadoop-ansible
clouderasecurity,clouderasecurity/puppet
CMEGroup,CMEGroup/CMESmartStream-on-GCP-Tutorial
cnova,cnova/sdk-api-lojista-v2-java
cnova,cnova/sdk-api-lojista-v2-php
cnova,cnova/sdk-api-lojista-v2-python3
cnova,cnova/sdk-api-lojista-v2-ruby
cnova,cnova/sdk-eventos-v1-jaxrs
cnova,cnova/sdk-frete-v1-jaxrs
cnova,cnova/sdk-reservaestoque-v1-jaxrs
CCBCC-ISS,CCBCC-ISS/FSOPDND
Cognizant-CDE-Australia,Cognizant-CDE-Australia/generator-confit-sample-app
colliers-international,colliers-international/auth0-authorization-extension-wrapper
Comcast,Comcast/Brightscript-Utilities
Comcast,Comcast/Buildenv-Tool
CommvaultEngg,CommvaultEngg/DatacubeExcelAddin
CommvaultEngg,CommvaultEngg/pyre2
CommvaultEngg,CommvaultEngg/pyre2-dist
CommvaultEngg,CommvaultEngg/re2
compulab,compulab/cm-qs600-android-device
constantcontact,constantcontact/gatekeepah
constantcontact,constantcontact/lita-virus_total
constantcontact,constantcontact/yapah
ihiji,ihiji/chef-celery
convergeone,convergeone/How-Tos
copartit,copartit/react-native-photo-editor
corelogic,corelogic/gradle-cache-resource
corelogic,corelogic/test-public-repos
corelogic-private,corelogic-private/SAVCorlogicRepo
cornerstoneondemand,cornerstoneondemand/CSOD-API-OrgChart-Demo
corteva,corteva/rioxarray-feedstock
cotiviti,cotiviti/Cotiviti-Labs-Handbook
coupa,coupa/datasette
Covisint,Covisint/covisint.js-calldefs
criteo,criteo/carbonara
criteo-cookbooks,criteo-cookbooks/pciutils
cvent,cvent/codebuilder-cloud-plugin
cyberark,cyberark/ansible-conjur-collection
cyberark,cyberark/conjur-policy-parser
cypresssemiconductorco,cypresssemiconductorco/.github
cypresssemiconductorco,cypresssemiconductorco/20735B1
cypresssemiconductorco,cypresssemiconductorco/bless
cypresssemiconductorco,cypresssemiconductorco/bluetooth-gateway
Daimler,Daimler/cantools
Daimler,Daimler/MBSDK-CommonKit-Android
Daimler,Daimler/oss-review-toolkit
daktronics,daktronics/debian-rcf
daktronics,daktronics/linux
DanskeBank,DanskeBank/MobilePay-AppSwitch
JohnDeere,JohnDeere/MyJohnDeereAPI-OAuth2-Java-Example
JohnDeere,JohnDeere/MyJohnDeereAPI-OAuth2-PHP-Example
JohnDeere,JohnDeere/MyJohnDeereAPI-OAuth2-Python-Example
SalesforceCommerceCloud,SalesforceCommerceCloud/commerce-sdk
SalesforceCommerceCloud,SalesforceCommerceCloud/create-commerce-app
SalesforceCommerceCloud,SalesforceCommerceCloud/ocapi-settings
SalesforceCommerceCloud,SalesforceCommerceCloud/raml-toolkit
SalesforceCommerceCloud,SalesforceCommerceCloud/sfcc-ci
SalesforceCommerceCloud,SalesforceCommerceCloud/sfcc-sample-apps
DecartesDeveloper,DecartesDeveloper/highcharts
despegar,despegar/kafka-tools
Dialogic,Dialogic/dialogic-html-javascript
Dialogic,Dialogic/dialogic-JSR309ConferenceApp
Dialogic,Dialogic/dialogic-msml
Dialogic,Dialogic/dialogic-rest-csharp
Dialogic,Dialogic/dialogic-rest-perl
Dialogic,Dialogic/dialogic-vxml-netann
Dialogic,Dialogic/dialogic.github.io
Dialogic,Dialogic/MsmlTool
Dialogic,Dialogic/XMS-STS
Dialogic,Dialogic/XMSRestTest
digidotcom,digidotcom/aws-monitor-consumer
digidotcom,digidotcom/digi-python-resources
digitaldomain,digitaldomain/DiscreteDifferentialGeometry.jl
digitaldomain,digitaldomain/HalfEdges.jl
digitaldomain,digitaldomain/Multivectors.jl
DigitalRiverConnect,DigitalRiverConnect/drive
DigitalRiverConnect,DigitalRiverConnect/MyTest
DigitalGlobe,DigitalGlobe/dgsamples
DigitalGlobe,DigitalGlobe/gbdx-dot-net-task
DigitalGlobe,DigitalGlobe/gbdx-s3-creds
DigitalGlobe,DigitalGlobe/gbdx-task-StageDataToS3
DineEquity,DineEquity/ImportExportWebAPIExample
docusign,docusign/docusign.github.io
DolbyLaboratories,DolbyLaboratories/android-cuttlefish
DolbyLaboratories,DolbyLaboratories/Bento4
DolbyLaboratories,DolbyLaboratories/dbmd-atmos-parser
DomoApps,DomoApps/beastmodeDemo
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.be
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.co.nz
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.com.au
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.cz
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.ee
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.eu
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.fr
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.hr
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.hu
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.lt
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.lv
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.rs
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.si
DomtarDigitalGlobal,DomtarDigitalGlobal/attends.sk
DomtarDigitalGlobal,DomtarDigitalGlobal/attendscare.be
DomtarDigitalGlobal,DomtarDigitalGlobal/attendscare.de
DomtarDigitalGlobal,DomtarDigitalGlobal/attendscare.nl
DomtarDigitalGlobal,DomtarDigitalGlobal/attendscare.no
DomtarDigitalGlobal,DomtarDigitalGlobal/attendsdirekt.de
DomtarDigitalGlobal,DomtarDigitalGlobal/attendspflegepaket.de
DomtarDigitalGlobal,DomtarDigitalGlobal/attendssupport.co.uk
DomtarDigitalGlobal,DomtarDigitalGlobal/attendssupport.fi
DomtarDigitalGlobal,DomtarDigitalGlobal/de.attends.ch
dorel,dorel/Magento-2-disable-frontend-module
dropbox,dropbox/android-ui-driver
dropbox,dropbox/Developer-Samples
dropbox,dropbox/dropbox-ios-dropins-sdk
dropbox,dropbox/dropbox-sdk-dotnet
dropbox,dropbox/dropbox-sdk-go-unofficial
dropbox,dropbox/dropbox-sdk-java
DSPGroup,DSPGroup/dspgroup.github.io
dnb-solutionengineering,dnb-solutionengineering/RecruitmentProcess
dxc-technology,dxc-technology/about-devops-dojo
dxc-technology,dxc-technology/com.servicemesh.agility.adapters.service.cloudformation
dxc-technology,dxc-technology/dxc-open-source
dxc-technology,dxc-technology/online-devops-dojo
dxc-technology,dxc-technology/pet-clinic
dxc-technology,dxc-technology/ssi-credential-issuer
eon-com,eon-com/flyway
eon-com,eon-com/go-migrate
eon-com,eon-com/swagger-together
eBay,eBay/cronus-agent
editasmedicine,editasmedicine/blt
eGainTechnologies,eGainTechnologies/CustomerEngagementSolutions
eGainTechnologies,eGainTechnologies/KnowledgeBaseSoftware
elastic,elastic/apm-server-integration
logstash-plugins,logstash-plugins/logstash-codec-json_pretty
electronicarts,electronicarts/orbit
electronicarts,electronicarts/RenderWare3Docs
EllieMae,EllieMae/epc-datadocs-mockinvestor
EllieMae,EllieMae/exp19-data-science
EllieMae,EllieMae/exp19-dataconnect
EllieMae,EllieMae/exp19-service-ordering
